,name,rating,review_count,type,how_old,hq,employees
0,TCS,3.9,(50k Reviews),Public,55 years old,"Mumbai,Maharashtra + 268 more",55 years old
1,Accenture,4.1,(32.1k Reviews),Public,34 years old,Dublin + 131 more,34 years old
2,Cognizant,4.0,(29.5k Reviews),Private,29 years old,Teaneck. New Jersey. + 101 more,29 years old
3,ICICI Bank,4.0,(33.4k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1055 more",29 years old
4,HDFC Bank,4.0,(39k Reviews),Public,29 years old,"Mumbai,Maharashtra + 1235 more",29 years old
5,Wipro,3.9,(28.6k Reviews),Public,78 years old,"Bangalore/Bengaluru,Karnataka + 223 more",78 years old
6,Infosys,3.9,(28.1k Reviews),Public,42 years old,"Bengaluru/Bangalore,Karnataka + 124 more",42 years old
7,Capgemini,3.9,(23.8k Reviews),Public,56 years old,Paris + 79 more,56 years old
8,Tech Mahindra,3.7,(21.4k Reviews),Public,37 years old,"Pune,Maharashtra + 210 more",37 years old
9,Genpact,4.0,(19.2k Reviews),Public,26 years old,"New York,New York + 67 more",26 years old
10,HCLTech,3.8,(18.3k Reviews),Public,32 years old,Noida + 141 more,32 years old
11,Amazon,4.3,(18.3k Reviews),Public,29 years old,"Seattle,Washington + 374 more",29 years old
12,Axis Bank,3.9,(18.4k Reviews),Public,30 years old,"Mumbai,Maharashtra + 1091 more",30 years old
13,IBM,4.2,(15.2k Reviews),Public,112 years old,"Armonk,New York + 118 more",112 years old
14,Concentrix Corpo...,4.0,(14.9k Reviews),Public,40 years old,"Fremont,California + 70 more",40 years old
15,Reliance jio,4.0,(14.5k Reviews),Public,16 years old,"Navi Mumbai,Maharashtra + 984 more",16 years old
16,Larsen & Toubro ...,4.1,(24k Reviews),Public,77 years old,"Mumbai,Maharashtra + 522 more",77 years old
17,HDB Financial Se...,4.0,(13.3k Reviews),Private,16 years old,"Ahmedabad,Gujrat + 789 more",16 years old
18,Vodafone Idea,4.2,(13.1k Reviews),Public,5 years old,"Gandhinagar,Gujrat + 563 more",5 years old
19,Teleperformance,3.6,(14.3k Reviews),Private,45 years old,Paris + 122 more,45 years old
20,Kotak Mahindra B...,3.9,(13.3k Reviews),Public,20 years old,"Mumbai,Maharashtra + 471 more",20 years old
21,Reliance Retail,4.1,(16.2k Reviews),Private,17 years old,"Navi Mumbai,Maharashtra + 688 more",17 years old
22,Deloitte,4.1,(10.2k Reviews),Private,178 years old,"New York,New York + 129 more",178 years old
23,Reliance Industr...,4.1,(43.5k Reviews),Public,50 years old,"Navi Mumbai,Maharashtra + 498 more",50 years old
24,Bharti Airtel,4.1,(12.3k Reviews),Public,28 years old,"Gurgaon/Gurugram,Haryana + 518 more",28 years old
25,Tata Motors,4.1,(11.8k Reviews),Public,78 years old,"Pune,Maharashtra + 383 more",78 years old
26,BYJU'S,3.5,(12.7k Reviews),Private,12 years old,"Bangalore,Karnataka + 251 more",12 years old
27,Flipkart,4.2,(11.4k Reviews),Public,16 years old,"Bangalore,Karnataka + 443 more",16 years old
28,WNS,3.7,(6.9k Reviews),Private,27 years old,"Mumbai,Maharashtra + 24 more",27 years old
29,Mahindra & Mahin...,3.9,(38.7k Reviews),Public,78 years old,"Mumbai,Maharashtra + 416 more",78 years old
30,IndusInd Bank,3.8,(6.6k Reviews),Public,29 years old,"Gurgaon/Gurugram,Haryana + 555 more",29 years old
31,Ernst & Young,3.8,(6.2k Reviews),Private,21 years old,London + 72 more,21 years old
32,DXC Technology,3.9,(7k Reviews),Public,6 years old,"Minato,Tokyo + 56 more",6 years old
33,Hinduja Global S...,4.0,(6k Reviews),Public,23 years old,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old
34,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 49 more",10k-50k Employees (India),21 years old,10k-50k Employees (India)
35,Maruti Suzuki,4.2,(5.8k Reviews),Public,40 years old,"New Delhi,Delhi + 368 more",40 years old
36,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,5 years old,"Mumbai,Maharashtra + 406 more",5 years old
37,HSBC,4.1,(5.7k Reviews),Private,21 years old,"Pune,Maharashtra + 52 more",21 years old
38,Bajaj Finserv,4.0,(5.2k Reviews),Public,16 years old,"Pune,Maharashtra + 670 more",16 years old
39,Ericsson,4.3,(5.3k Reviews),Private,147 years old,"Stockholm,Stockholm County + 129 more",147 years old
40,Conneqt Business...,3.7,(5.1k Reviews),Private,21 years old,"Mumbai,Maharashtra + 163 more",21 years old
41,Mphasis,3.7,(4.8k Reviews),Public,25 years old,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old
42,Startek,3.4,(4.8k Reviews),Public,6 years old,"Mumbai,Maharashtra + 51 more",6 years old
